#,Sistema-Modulo,Projeto-Modulo,# Projeto Hierarquia,Projeto Hierarquia,Tipo,Situação,Título,Atribuído para,Catálogo_01 (Memora - 13/2020),HET (Real),qtd_servicos,Início,Tarefa pai,Qtd. de Anexos
86522,SCG - Sistema de Contabilidade Geral (Agente),SCG - Sistema de Contabilidade Geral (PRODUTO),86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Nova,Alteração da regra de retenção,Darckles Pereira de Almeida,,,,2023-07-25,86149,0
86481,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,,,Análise,Nova,Estudo do código para Implementação padronizada de Health Check,Renato Da Silva Cavalcanti,10-Estudo/AnálisedeSistemaLegado,,,2023-07-21,,0
86350,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Reunião,Resolvida,Reunião acerca do SCG,Minoru Garcia Gondo Lima,36-ParticipaçãoemReuniões,,,2023-07-20,86149,1
86314,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Análise,Nova,Análise exploratória referente a atividade de Correção 85933 ,Jose Humberto Froes Junior,21-Manutenções-AnáliseExploratóriadeProblemas,,1,2023-07-14,58361,0
86298,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Nova,Alterar batch Sucessor órgão Natureza Fonte,Darckles Pereira de Almeida,,,,2023-07-20,86149,1
86289,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Correção,Nova,Desativação do relatório Demonstrativo Almoxarifado duplicado que está dando conflito com o relatório que realmente deve ser usado,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-07-20,86149,0
86282,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Reunião,Validação,Verificação da funcionalidade Inserir Sucesso Órgão Natureza Fonte,Darckles Pereira de Almeida,,,,2023-07-20,86149,0
86281,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Validação,Análise da Função  para reforma administrativa,Darckles Pereira de Almeida,,,,2023-07-20,86149,0
86280,SCG - Sistema de Contabilidade Geral (SCGI),*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Alteração no Site SCGI,Darckles Pereira de Almeida,,,,2023-07-20,58361,1
86210,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Validação,Relatório - Anexo 02-SCG ano 2023,Darckles Pereira de Almeida,,,,2023-07-19,86149,0
